49,242,Хосомаки чука,"Рис, водросли чука, соус Ореховый (8шт)",130,Роллы,https://susi.pizza/wp-content/uploads/2022/05/hosomaki-chuka-scaled-1.jpg
60,240,Хосомаки тунец,"Рис, тунец (8шт)",170,Роллы,https://susi.pizza/wp-content/uploads/2022/05/hosomaki-tunecz-scaled-1.jpg
61,239,Хосомаки Такуан,"Рис, такуан (8шт)",90,Роллы,https://susi.pizza/wp-content/uploads/2022/05/hosomaki-takuan-scaled-1.jpg
62,238,Хосомаки лосось,"Рис, лосось (8шт)",170,Роллы,https://susi.pizza/wp-content/uploads/2022/05/hosomaki-losos-scaled-1.jpg
63,237,Хосомаки креветка,"Рис, креветка ( 8 шт)",280,Роллы,https://susi.pizza/wp-content/uploads/2022/05/hosomaki-krevetka-scaled-1.jpg
64,236,Фудзияма,"Рис, лосось, сливочный сыр, огурец, икра-масаго (8 шт)",290,Роллы,https://susi.pizza/wp-content/uploads/2022/05/fudziyama-scaled-1.jpg
65,235,Флори,"Рис, печёный тилапия, сливочный сыр, огурец, икра-масаго (8шт)",270,Роллы,https://susi.pizza/wp-content/uploads/2022/05/flori-scaled-1.jpg
66,234,Филка вип,"Рис,лосось,сливочный сыр, икра лосося (9 шт)",550,Роллы,https://susi.pizza/wp-content/uploads/2022/05/filka-vip-scaled-1.jpg
67,233,Филка,"Рис, лосось , огурец, сливочный сыр (9шт)",450,Роллы,https://susi.pizza/wp-content/uploads/2022/05/filka-scaled-1.jpg
68,232,Туна,"Рис, тунец , сливочный сыр, огурец, икра-масаго (8шт)",290,Роллы,https://susi.pizza/wp-content/uploads/2022/05/tuna-scaled-1.jpg
69,231,Тинки-Винки,"Рис, бекон, сливочный сыр, огурец, сырная шапочка (8шт)",290,Роллы,https://susi.pizza/wp-content/uploads/2022/05/tinki-vinki-scaled-1.jpg
77,230,Такуна,"Рис, масляная х/к, сливочный сыр, огурец, икра-масаго (8шт)",220,Роллы,https://susi.pizza/wp-content/uploads/2022/05/takuna-scaled-1.jpg
78,229,Сливочная курочка,"Рис, лосось,сливочный сыр, такуан (8шт)",250,Роллы,https://susi.pizza/wp-content/uploads/2022/05/slivochnaya-kurochka-scaled-1.jpg
79,228,Салат Чука,Салат Чука,120,Роллы,https://susi.pizza/wp-content/uploads/2022/05/¦b¦-¦¬¦-tv-¦ztg¦¦¦-120_optimized.jpg
80,227,Рыбонька,"Рис,сливочный сыр, копч.курица , марин.огурец , икра-масаго (8шт)",220,Роллы,https://susi.pizza/wp-content/uploads/2022/05/rybonka-scaled-1.jpg
81,226,Остряк,"Рис, лосось , огурец, сливочный сыр, икра-масаго, острый соус Кимчи (8шт)",250,Роллы,https://susi.pizza/wp-content/uploads/2022/05/ostryak-scaled-1.jpg
82,225,Острая рыбка,"Рис, лосось, тунец, сливочный сыр, острый соус Кимчи (8шт)",270,Роллы,https://susi.pizza/wp-content/uploads/2022/05/ostraya-rybka-scaled-1.jpg
83,224,Оригами,"Рис, лосось, омлет, сливочный сыр, икра-масаго (8шт)",280,Роллы,https://susi.pizza/wp-content/uploads/2022/05/origami-scaled-1.jpg
84,223,Мясной,"Рис,бекон, сливочный сыр , огурец (8шт)",250,Роллы,https://susi.pizza/wp-content/uploads/2022/05/myasnoj-scaled-1.jpg
85,221,Морской,"Рис, сливочный сыр, лосось, угорь, огурец, соус Унаги, кунжут (8шт)",450,Роллы,https://susi.pizza/wp-content/uploads/2022/05/morskoj-scaled-1.jpg
86,220,Матата,"Рис,лосось,сливочный сыр, омлет, крабовый крем. (8шт)",260,Роллы,https://susi.pizza/wp-content/uploads/2022/05/matata-scaled-1.jpg
87,219,Манила лосось,"Рис, лосось , сливочный сыр, омлет (8шт)",220,Роллы,https://susi.pizza/wp-content/uploads/2022/05/manila-losos-scaled-1.jpg
88,218,Манила креветка,"Рис,креветка, сливочный сыр, омлет (8шт)",290,Роллы,https://susi.pizza/wp-content/uploads/2022/05/manila-krevetka-scaled-1.jpg
89,217,Лёгкий,"Рис,омлет, сливочный сыр, икра-масаго (8шт)",190,Роллы,https://susi.pizza/wp-content/uploads/2022/05/lyogkij-scaled-1.jpg
90,216,Каппа,"Рис, огурец (8шт)",80,Роллы,https://susi.pizza/wp-content/uploads/2022/05/kappa-scaled-1.jpg
91,215,морской,"Рис, лосось , огурец, сливочный сыр, угорь, соус Унаги, кунжут (8шт)",450,Роллы,https://susi.pizza/wp-content/uploads/2022/05/kanada-scaled-1.jpg
92,214,Калифорния лосось,"Рис,лосось, омлет , огурец, икра-масаго (8шт)",270,Роллы,https://susi.pizza/wp-content/uploads/2022/05/kaliforniya-losos-scaled-1.jpg
93,213,Калифорния креветка,"Рис, креветка, омлет, огурец, икра-масаго (8шт)",300,Роллы,https://susi.pizza/wp-content/uploads/2022/05/kaliforniya-krevetka-scaled-1.jpg
94,212,Икорка,"Рис, сливочный сыр,икра лосося, огурец (8шт)",290,Роллы,https://susi.pizza/wp-content/uploads/2022/05/ikorka-scaled-1.jpg
100,210,Буррито Фиш,"Сырная лепешка, сливочный сыр, масляная, х/к, огурец (8шт)",270,Роллы,https://susi.pizza/wp-content/uploads/2022/05/burrito-fish-scaled-1.jpg
101,209,Буррито со свежим огурцом,"Сырная лепешка, сливочный сыр, копченая курица, марин.огурец, помидор (8шт)",190,Роллы,https://susi.pizza/wp-content/uploads/2022/05/burrito-scaled-1.jpg
102,207,Бонито,"Рис, сливочный сыр, печёный лосось, огурец, стружка Тунца (8шт)",290,Роллы,https://susi.pizza/wp-content/uploads/2022/05/bonito-scaled-1.jpg
103,206,Больше мяса,"Рис, сливочный сыр, копч.курица, бекон, плавленный сыр (8шт)",240,Роллы,https://susi.pizza/wp-content/uploads/2022/05/bolshe-myasa-scaled-1.jpg
104,205,Барбекю Фри,"Сырная лепешка, копч.курица, сливочный сыр, огурец, соус Барбекью, лук-фри (8шт)",250,Роллы,https://susi.pizza/wp-content/uploads/2022/05/barbekyu-fri-scaled-1.jpg
111,204,Банзай,"Рис, лосось, сливочный сыр, огурец (8шт)",230,Роллы,https://susi.pizza/wp-content/uploads/2022/05/banzaj-scaled-1.jpg
112,202,Амигос,"Рис, сливочный сыр, лосось, угорь, огурец, соус Унаги, кунжут (8шт)",220,Роллы,https://susi.pizza/wp-content/uploads/2022/05/amigos-scaled-1.jpg
113,201,Аврора,"Рис, сливочный сыр, омлет, огурец, крабовый крем. (8шт)",190,Роллы,https://susi.pizza/wp-content/uploads/2022/05/matata-scaled-1.jpg
114,101,Восторг,"Филка, Хосомаки Такуан, Буррито, Банзай, Чиполлино, Аврора, Оригиами, Бонито, Сливочная курочка, Хосомаки лосось,Фудзияма (89)",2300,Наборы,https://susi.pizza/wp-content/uploads/2022/05/vostorg-scaled-1.jpg
115,108,Друзья,"Филка, Калифорния лосось, Каппа, Хосомаки Лосось, Хосомаки Чука,Хосомаки Такуан, Буррито, Лёгкий (65шт)",1700,Наборы,https://susi.pizza/wp-content/uploads/2022/05/druzya-scaled-1.jpg
